version_name,version,url,scraped_date
8.0,8.0,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
Want to try out the latest RC release? .NET 10.0.0-rc.2 is available.,10.0.0,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.21 Security patch,8.0.21,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
SDK 8.0.121,8.0.121,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
C# 12.0,12.0,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
Visual Basic 16.9,16.9,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
SDK 8.0.318,8.0.318,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
Visual Studio 2022 (v17.10),17.10,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
Visual Studio 17.10.20,17.10.20,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
SDK 8.0.415,8.0.415,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
18.0.25269.21,18.0.25269.21,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.20,8.0.20,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.19,8.0.19,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.18,8.0.18,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.17 Security patch,8.0.17,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.16 Security patch,8.0.16,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.15 Security patch,8.0.15,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.14 Security patch,8.0.14,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.13,8.0.13,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.12 Security patch,8.0.12,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.11,8.0.11,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.10 Security patch,8.0.10,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.8 Security patch,8.0.8,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.7 Security patch,8.0.7,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.6 Security patch,8.0.6,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.5 Security patch,8.0.5,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.4 Security patch,8.0.4,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.3 Security patch,8.0.3,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.2 Security patch,8.0.2,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.1 Security patch,8.0.1,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
8.0.0 Security patch,8.0.0,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
Powered by .NET 9.0.10,9.0.10,https://dotnet.microsoft.com/en-us/download/dotnet/8.0,2025-10-15 16:50:31
